DATE,DGS10
2007-02-15,4.70
2007-02-16,4.69
2007-02-19,.
2007-02-20,4.68
2007-02-21,4.69
2007-02-22,4.73
2007-02-23,4.68
2007-02-26,4.63
2007-02-27,4.50
2007-02-28,4.56
2007-03-01,4.56
2007-03-02,4.52
2007-03-05,4.51
2007-03-06,4.53
2007-03-07,4.50
2007-03-08,4.51
2007-03-09,4.59
2007-03-12,4.56
2007-03-13,4.50
2007-03-14,4.53
2007-03-15,4.54
2007-03-16,4.55
2007-03-19,4.58
2007-03-20,4.56
2007-03-21,4.53
2007-03-22,4.60
2007-03-23,4.62
2007-03-26,4.60
2007-03-27,4.62
2007-03-28,4.62
2007-03-29,4.64
2007-03-30,4.65
2007-04-02,4.65
2007-04-03,4.67
2007-04-04,4.66
2007-04-05,4.68
2007-04-06,4.76
2007-04-09,4.75
2007-04-10,4.73
2007-04-11,4.74
2007-04-12,4.74
2007-04-13,4.76
2007-04-16,4.74
2007-04-17,4.69
2007-04-18,4.66
2007-04-19,4.68
2007-04-20,4.68
2007-04-23,4.66
2007-04-24,4.63
2007-04-25,4.66
2007-04-26,4.69
2007-04-27,4.71
2007-04-30,4.63
2007-05-01,4.64
2007-05-02,4.65
2007-05-03,4.68
2007-05-04,4.65
2007-05-07,4.64
2007-05-08,4.63
2007-05-09,4.67
2007-05-10,4.65
2007-05-11,4.67
2007-05-14,4.69
2007-05-15,4.71
2007-05-16,4.71
2007-05-17,4.76
2007-05-18,4.81
2007-05-21,4.79
2007-05-22,4.83
2007-05-23,4.86
2007-05-24,4.86
2007-05-25,4.86
2007-05-28,.
2007-05-29,4.88
2007-05-30,4.88
2007-05-31,4.90
2007-06-01,4.95
2007-06-04,4.93
2007-06-05,4.98
2007-06-06,4.97
2007-06-07,5.11
2007-06-08,5.12
2007-06-11,5.14
2007-06-12,5.26
2007-06-13,5.20
2007-06-14,5.23
2007-06-15,5.16
2007-06-18,5.15
2007-06-19,5.09
2007-06-20,5.14
2007-06-21,5.16
2007-06-22,5.14
2007-06-25,5.09
2007-06-26,5.10
2007-06-27,5.09
2007-06-28,5.12
2007-06-29,5.03
2007-07-02,5.00
2007-07-03,5.05
2007-07-04,.
2007-07-05,5.16
2007-07-06,5.19
2007-07-09,5.16
2007-07-10,5.03
2007-07-11,5.09
2007-07-12,5.13
2007-07-13,5.11
2007-07-16,5.05
2007-07-17,5.08
2007-07-18,5.02
2007-07-19,5.04
2007-07-20,4.96
2007-07-23,4.97
2007-07-24,4.94
2007-07-25,4.92
2007-07-26,4.79
2007-07-27,4.80
2007-07-30,4.82
2007-07-31,4.78
2007-08-01,4.76
2007-08-02,4.77
2007-08-03,4.71
2007-08-06,4.72
2007-08-07,4.77
2007-08-08,4.84
2007-08-09,4.79
2007-08-10,4.81
2007-08-13,4.78
2007-08-14,4.73
2007-08-15,4.69
2007-08-16,4.60
2007-08-17,4.68
2007-08-20,4.64
2007-08-21,4.60
2007-08-22,4.63
2007-08-23,4.62
2007-08-24,4.63
2007-08-27,4.60
2007-08-28,4.53
2007-08-29,4.57
2007-08-30,4.51
2007-08-31,4.54
2007-09-03,.
2007-09-04,4.56
2007-09-05,4.48
2007-09-06,4.51
2007-09-07,4.38
2007-09-10,4.34
2007-09-11,4.37
2007-09-12,4.41
2007-09-13,4.49
2007-09-14,4.47
2007-09-17,4.48
2007-09-18,4.50
2007-09-19,4.53
2007-09-20,4.69
2007-09-21,4.64
2007-09-24,4.63
2007-09-25,4.63
2007-09-26,4.63
2007-09-27,4.58
2007-09-28,4.59
2007-10-01,4.56
2007-10-02,4.54
2007-10-03,4.55
2007-10-04,4.54
2007-10-05,4.65
2007-10-08,.
2007-10-09,4.67
2007-10-10,4.65
2007-10-11,4.66
2007-10-12,4.70
2007-10-15,4.69
2007-10-16,4.66
2007-10-17,4.57
2007-10-18,4.52
2007-10-19,4.41
2007-10-22,4.42
2007-10-23,4.41
2007-10-24,4.36
2007-10-25,4.37
2007-10-26,4.41
2007-10-29,4.39
2007-10-30,4.40
2007-10-31,4.48
2007-11-01,4.36
2007-11-02,4.31
2007-11-05,4.35
2007-11-06,4.38
2007-11-07,4.34
2007-11-08,4.28
2007-11-09,4.23
2007-11-12,.
2007-11-13,4.26
2007-11-14,4.28
2007-11-15,4.17
2007-11-16,4.15
2007-11-19,4.07
2007-11-20,4.06
2007-11-21,4.00
2007-11-22,.
2007-11-23,4.01
2007-11-26,3.83
2007-11-27,3.95
2007-11-28,4.03
2007-11-29,3.94
2007-11-30,3.97
2007-12-03,3.89
2007-12-04,3.89
2007-12-05,3.92
2007-12-06,4.02
2007-12-07,4.12
2007-12-10,4.15
2007-12-11,3.98
2007-12-12,4.05
2007-12-13,4.18
2007-12-14,4.24
2007-12-17,4.20
2007-12-18,4.14
2007-12-19,4.06
